user_id,content_id,time_spent,rating,timestamp
3029,450,132,4,2023-10-26 04:45:36
3757,552,53,5,2024-06-10 02:34:25
4655,1880,38,4,2025-03-10 03:09:15
279,1309,67,4,2023-11-24 09:24:22
1297,1828,130,4,2025-12-01 08:34:34
303,1626,39,3,2024-03-18 08:33:08
1889,1869,16,2,2024-02-03 17:10:53
46,1553,71,4,2024-12-21 23:06:07
442,1708,164,5,2025-04-11 13:55:40
3009,420,47,3,2025-09-12 21:26:20
682,977,55,4,2023-04-12 06:47:13
4511,1981,51,5,2024-02-18 14:53:50
3108,507,36,3,2023-01-12 22:31:46
788,251,37,3,2025-07-15 03:10:02
2125,420,66,5,2025-08-25 10:30:38
1269,1757,53,3,2024-04-11 21:04:22
3093,1345,99,3,2025-10-27 22:39:00
733,1206,81,4,2025-10-18 15:10:02
3183,914,38,3,2024-05-19 14:23:22
4267,545,83,5,2023-10-17 11:15:50
979,795,75,4,2025-11-20 03:06:43
995,1723,57,3,2025-05-02 02:44:30
2419,1639,53,3,2023-03-05 21:50:16
1198,657,133,5,2024-03-01 08:24:53
775,1120,17,3,2024-07-04 11:00:01
4903,627,74,3,2024-06-14 04:57:17
2252,1322,96,4,2025-09-18 06:32:00
3734,1656,53,3,2024-12-14 08:40:09
3662,341,34,3,2024-01-20 06:46:06
1338,1554,79,5,2023-07-17 03:06:26
4419,164,50,4,2023-05-21 15:22:03
4167,376,99,4,2024-08-29 21:35:11
502,203,17,2,2025-05-22 00:10:09
4244,441,146,5,2024-10-24 05:25:21
1601,626,172,4,2025-09-07 02:23:31
1939,1399,1,1,2023-10-03 23:58:11
2135,97,68,3,2023-09-01 21:13:28
2584,1846,53,4,2024-11-06 13:17:14
2407,1534,164,5,2025-11-07 12:23:13
138,936,133,4,2025-07-27 15:18:38
4569,702,70,4,2023-06-04 21:44:02
4015,183,140,5,2025-04-11 02:14:13
2281,1041,55,3,2024-09-19 20:49:46
4141,1077,27,5,2023-08-02 10:32:01
2371,440,72,5,2024-02-08 09:10:22
3469,1902,5,2,2025-05-06 05:39:19
1059,1577,44,3,2024-07-10 09:57:16
2981,189,54,3,2024-09-09 04:46:35
129,1449,23,1,2025-09-09 06:58:59
4124,1169,9,1,2023-02-27 08:28:04
599,983,154,4,2023-07-26 01:08:16
2118,632,63,4,2024-04-29 20:22:17
1689,1110,59,4,2023-12-11 17:15:22
2782,115,39,4,2024-10-22 03:11:18
4284,916,30,2,2024-02-18 10:43:54
2417,1553,10,1,2023-06-09 22:02:36
4867,399,38,5,2025-02-18 08:22:57
47,1697,3,1,2025-07-02 22:52:21
4776,261,50,4,2024-03-08 08:51:04
1320,1138,19,3,2023-12-07 11:47:01
4049,820,43,4,2023-10-16 05:21:22
4935,216,78,5,2024-06-05 12:24:54
771,174,9,1,2024-09-13 12:37:05
620,1790,136,5,2023-07-24 20:32:29
1440,1608,37,4,2023-12-27 13:26:24
4087,1687,24,3,2024-09-11 11:43:57
4695,1561,37,4,2024-03-20 18:50:02
1919,469,20,1,2025-08-12 10:35:14
3333,548,30,2,2023-01-23 11:36:14
1290,1679,72,4,2025-09-18 08:37:34
3486,112,44,3,2024-06-15 17:37:03
2272,1532,29,5,2025-02-06 08:42:50
4508,426,35,1,2024-09-11 00:00:53
1944,722,49,4,2023-10-15 21:37:47
1606,756,88,5,2024-07-12 03:14:34
588,1861,85,3,2023-08-05 23:28:43
3730,1556,131,4,2025-07-15 11:24:53
4788,1511,81,5,2024-06-12 17:53:28
3866,373,35,1,2023-08-28 22:07:10
2680,1970,55,2,2025-07-16 12:11:32
1170,69,56,3,2023-07-30 15:49:05
4904,298,111,5,2024-07-10 01:46:44
953,1100,156,5,2025-02-14 17:21:30
2719,713,65,4,2023-04-28 21:11:07
934,1411,21,4,2023-05-07 22:26:47
3822,1147,41,3,2023-04-26 07:56:22
1168,897,52,5,2025-12-06 06:46:25
4729,1807,130,5,2025-05-25 17:42:06
610,1225,44,5,2024-02-20 13:04:06
4199,194,54,5,2023-08-10 22:04:51
245,1028,109,5,2025-11-15 13:10:44
759,890,151,4,2023-10-31 05:09:40
1072,1201,149,5,2024-04-09 17:45:28
4526,1974,14,3,2025-10-26 18:06:25
3572,937,38,4,2025-06-14 13:30:16
1743,1829,40,3,2024-02-04 22:02:43
1279,553,55,4,2025-12-03 22:24:13
4353,1649,182,5,2024-06-23 19:35:32
1316,697,128,5,2025-08-03 05:28:42
1306,178,35,4,2023-09-06 16:15:46
4943,1591,57,5,2024-09-04 07:59:09
2001,853,43,5,2024-06-23 05:47:05
2512,346,34,2,2023-03-09 21:06:34
68,1905,156,5,2023-10-20 20:02:01
2953,256,12,2,2024-09-25 00:49:20
